id,title,description,Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,availability,availability,Variant Inventory Policy,Variant Fulfillment Service,price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,"image_link",Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,link,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / World,Price / World,Compare At Price / World,Status
105-degree-angle-adjustable-bits-nozzles-screwdriver-tool,105 Degree Angle Adjustable Bits Nozzles Screwdriver Tool,"<p><strong>Description:</strong><br>100% Brand new and high quality!<br>Designed to save your time and improve effencicy.<br>Power drill screwdriver head<br>105 degrees adjustable hex bit angle driver screwdriver tools<br>Easy, lightweight, fast, connect to the standard hex screwdriver.<br>It can be connected to drill, rechargeable drill or manual wrench.<br>Great for tight quarters, little tricky to learn.<br><br><strong>Features:</strong><br>Material: Stainless Steel<br>Connector Size: 105°<br>Color: Silvery<br>Size: As pic<br>Package included: 1 pc* Screwdriver Tool<br><br><strong>NOTICE:</strong><br>1. Due to the light difference, the color may be slightly different.<br>2. Please allow slight differences due to manual measurement.</p>",hergadgetshop,Furniture > Carts & Islands > Kitchen & Dining Carts,,,TRUE,Color,90 degree,,,,,38186535-90-degree,0,,0,deny,manual,21.99,42.99,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0826/4024/0948/products/product-image-1454923549.jpg?v=1693776745,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/4024/0948/products/product-image-1454923532.jpg?v=1693776745,kg,,,TRUE,,,TRUE,,,active
105-degree-angle-adjustable-bits-nozzles-screwdriver-tool,,,,,,,,,105 degree long,,,,,38186535-105-degree-long,0,,0,deny,manual,13.99,26.99,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0826/4024/0948/products/product-image-1454923525.jpg?v=1693776745,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/4024/0948/products/product-image-1454923533.jpg?v=1693776745,kg,,,,,,,,,
105-degree-angle-adjustable-bits-nozzles-screwdriver-tool,,,,,,,,,Angle adapter set,,,,,38186535-angle-adapter-set,0,,0,deny,manual,51.99,100,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0826/4024/0948/products/product-image-1454923533.jpg?v=1693776745,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/4024/0948/products/product-image-1454923538.jpg?v=1693776745,kg,,,,,,,,,
105-degree-angle-adjustable-bits-nozzles-screwdriver-tool,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/4024/0948/products/product-image-1454923550.jpg?v=1693776745,4,,,,,,,,,,,,,,,,,,,,,,,,,,
105-degree-angle-adjustable-bits-nozzles-screwdriver-tool,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/4024/0948/products/product-image-1454923532.jpg?v=1693776745,5,,,,,,,,,,,,,,,,,,,,,,,,,,
105-degree-angle-adjustable-bits-nozzles-screwdriver-tool,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/4024/0948/products/product-image-1454923538.jpg?v=1693776745,6,,,,,,,,,,,,,,,,,,,,,,,,,,
105-degree-angle-adjustable-bits-nozzles-screwdriver-tool,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/4024/0948/products/product-image-1454923541.jpg?v=1693776745,7,,,,,,,,,,,,,,,,,,,,,,,,,,
105-degree-angle-adjustable-bits-nozzles-screwdriver-tool,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/4024/0948/products/product-image-1454923542.jpg?v=1693776745,8,,,,,,,,,,,,,,,,,,,,,,,,,,
105-degree-angle-adjustable-bits-nozzles-screwdriver-tool,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/4024/0948/products/product-image-1454923540.jpg?v=1693776745,9,,,,,,,,,,,,,,,,,,,,,,,,,,
100pcs-bag-crystal-soil-mud-hydrogel-gel,100pcs/bag Crystal Soil Mud Hydrogel Gel,"<p><span><strong>Model Number:</strong> Crystal mud</span><br><span><strong>Type:</strong> Crystal Soil</span><br><span><strong>Model Number:</strong> water beads,decoracion hog</span><br><span><strong>Type:</strong> Crystal Soil</span><br><span><strong>Color:</strong> multicolors</span><br><span><strong>Diameter:</strong> 2.5-3mm</span><br><span><strong>Nickname:</strong> orbiz growing bulbs</span><br><span><strong>Nickname two:</strong> hydrogel</span><br><span><strong>Nickname three:</strong> water beads</span><br><span><strong>Nickname four:</strong> growing water balls</span><br><span><strong>Nickname five:</strong> Orbiz balls</span><br><span><strong>magic ball:</strong> water beads for plants</span><br><span><strong>water crystal beads:</strong> water pearls</span><br><span><strong>cristal flower weding decorstion:</strong> water gel beads</span></p>",store.hergadgetshop,Furniture > Carts & Islands > Kitchen & Dining Carts,Toys & Gifts,,TRUE,Color,Yellow,,,,,32553817-yellow,0,,0,deny,manual,9.99,19.98,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0826/4024/0948/products/product-image-1375336969.jpg?v=1693782960,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/4024/0948/products/product-image-1375336978.jpg?v=1693782960,kg,,,TRUE,,,TRUE,,,active
